Case ID,CM,DTA,KP,KPT,NB
429;-0,20;1,15;1,19;-1,18;1,14
430;-0,20;0,74;-0,04;-1,71;-0,15
431;1,21;1,15;1,19;-0,49;1,14
432;1,21;1,15;0,78;-1,71;1,14
433;1,21;1,15;1,19;0,04;0,75
434;1,21;1,15;1,19;0,04;-0,15
435;-0,20;-1,19;-0,95;0,74;-0,62
436;-0,20;-0,78;-0,49;-0,49;-0,62
437;-1,07;0,22;0,41;-0,49;1,14
438;-1,07;-1,59;0,36;1,44;0,24
439;-2,16;-2,71;-3,09;-0,49;-2,39
440;1,21;-0,25;-0,49;-0,49;1,14
441;1,21;1,15;1,19;-0,49;1,14
442;1,21;1,15;0,82;-1,71;1,14
443;1,21;1,15;1,19;-1,18;1,14
444;-0,20;-1,19;-1,42;-1,71;-1,47
445;0,35;-0,08;-0,92;0,74;-0,15
446;-0,20;-1,19;-0,95;-0,31;-0,62
447;-0,64;-0,78;-0,95;0,04;-0,62
448;0,24;0,62;0,32;-0,49;-0,62
449;1,21;1,15;1,19;-0,49;-0,24
450;-0,20;-0,78;-0,95;0,04;-0,62
451;1,21;1,15;0,82;0,21;0,29
452;0,35;1,15;1,19;1,44;1,14
453;0,36;1,15;1,19;-1,71;1,14
454;-1,62;-0,25;-0,95;0,74;-0,62
455;1,21;1,15;1,19;-1,71;1,14
456;1,21;-0,77;0,45;0,74;1,14
457;1,21;1,15;1,19;-1,18;1,14
458;-3,03;-0,49;-3,01;1,96;-2,34
459;-0,20;-0,72;1,19;0,04;-0,62
460;1,21;1,15;0,28;1,44;-0,24
461;1,21;1,15;1,19;1,96;1,14
462;-0,63;-2,12;-1,36;-0,49;-0,62
463;-0,20;-0,78;-0,95;-0,49;-0,62
464;-0,20;-0,78;-0,49;-1,71;1,14
465;1,21;1,15;0,41;-0,49;1,14
466;-1,62;1,15;1,19;-0,49;1,14
467;0,23;1,15;1,19;0,04;-0,15
468;-1,07;-1,60;-0,95;0,04;-1,10
469;-0,75;-2,71;-0,95;0,74;-1,49
470;-1,07;1,15;1,19;0,74;1,14
471;0,12;0,33;1,19;-1,71;1,14
472;-0,09;1,15;1,19;0,74;-1,10
473;0,67;-0,78;-0,95;-0,49;-0,62
474;1,21;1,15;1,19;0,04;1,14
475;0,24;-0,37;-1,78;-0,13;-2,39
476;-0,20;1,15;1,19;-0,49;-0,03
477;-0,20;0,57;0,32;-0,49;0,75
478;-0,20;-0,78;-0,95;-0,49;-0,62
479;1,21;-2,59;-0,95;-0,31;-2,77
480;0,67;0,22;1,19;-1,18;-0,62
481;1,21;1,15;-0,04;-1,71;1,14
482;-1,51;0,73;-0,95;-1,18;1,14
483;0,77;0,73;0,38;0,04;1,14
484;1,21;1,15;1,19;1,96;1,14
485;0,67;0,33;-0,95;0,74;-0,62
486;1,21;0,33;1,19;1,96;1,14
487;-0,20;-1,60;-0,95;0,74;-2,39
488;-0,20;-0,78;-0,49;0,74;-0,62
489;1,21;1,15;1,19;0,04;1,14
490;-1,51;1,15;-0,12;1,96;-0,62
491;1,21;-0,25;-0,54;0,04;-0,62
492;-0,20;0,33;1,19;-0,49;-0,62
493;1,21;0,21;1,19;1,44;0,32
494;0,67;-0,78;-0,49;-0,49;-0,62
495;-0,20;-0,37;0,32;0,04;-0,62
496;-2,06;0,62;0,74;1,96;-1,61
497;0,67;-0,78;1,19;-0,49;-0,15
498;-0,64;-1,19;-0,49;-0,49;-0,58
499;-0,20;-1,60;-0,95;0,74;-2,00
500;-3,03;-3,00;-0,09;1,96;-0,62
501;-0,20;1,15;-0,05;-0,49;0,20
502;1,21;1,15;1,19;0,04;1,14
503;0,33;0,32;1,19;-0,49;1,14
504;1,21;1,15;-0,51;1,96;1,14
505;-0,64;-0,78;-0,95;-0,49;-0,62
506;1,21;1,15;0,41;0,56;1,14
507;1,21;1,15;1,19;0,04;1,14
508;-0,20;-0,25;-0,95;-0,49;-0,62
509;-0,20;1,15;-0,88;0,74;-0,62
510;0,35;1,15;0,38;0,74;-0,62
511;0,77;1,15;-0,04;1,26;1,14
512;-0,64;-0,25;-0,95;-0,49;-1,01
513;-2,16;0,74;0,41;-1,18;1,14
514;-1,18;-0,78;1,19;-0,49;-0,62
